age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
34,management,married,tertiary,no,303,yes,no,cellular,29,jan,50,1,195,2,failure
46,admin.,married,secondary,no,466,yes,no,cellular,29,jan,169,1,-1,0,
34,admin.,married,secondary,no,1467,yes,no,cellular,17,apr,113,1,332,2,failure
46,technician,married,tertiary,no,342,yes,yes,cellular,5,may,84,1,-1,0,
50,services,married,secondary,no,77,no,no,cellular,27,may,138,2,-1,0,
39,admin.,divorced,secondary,no,2679,yes,yes,,23,may,811,1,-1,0,
47,housemaid,married,secondary,no,1152,no,no,telephone,7,jul,260,13,-1,0,
37,technician,married,tertiary,no,183,yes,no,cellular,29,jan,51,1,258,1,failure
59,management,married,tertiary,no,20798,yes,no,cellular,21,nov,9,7,-1,0,
52,retired,married,secondary,no,5057,no,no,cellular,17,nov,104,1,-1,0,
39,blue-collar,married,secondary,no,10005,yes,no,cellular,31,jul,241,4,-1,0,
42,admin.,single,secondary,no,1143,yes,yes,telephone,17,nov,106,1,-1,0,
45,management,married,tertiary,yes,-190,no,yes,cellular,26,aug,92,4,-1,0,
31,services,single,secondary,no,1599,no,no,cellular,30,apr,226,1,78,2,success
42,blue-collar,married,primary,no,325,yes,no,cellular,14,may,99,4,-1,0,
33,services,single,secondary,no,459,yes,no,cellular,29,jan,241,1,266,2,failure
36,entrepreneur,married,secondary,no,185,yes,no,cellular,15,jul,136,2,-1,0,
34,management,married,tertiary,no,2032,no,no,cellular,28,aug,103,12,-1,0,
38,technician,divorced,secondary,no,1803,no,yes,cellular,17,jul,172,1,-1,0,
32,management,married,tertiary,no,1517,no,no,cellular,13,aug,202,3,-1,0,
27,management,single,tertiary,no,80,no,no,cellular,27,may,188,2,-1,0,
34,blue-collar,married,secondary,no,452,yes,no,,15,may,90,3,-1,0,
36,blue-collar,married,secondary,no,4,yes,no,cellular,6,may,544,4,-1,0,
42,admin.,divorced,secondary,no,0,yes,yes,,18,jun,185,4,-1,0,
26,admin.,single,secondary,no,-14,no,no,cellular,31,jul,9,31,-1,0,
60,retired,married,primary,no,0,no,no,,1,jul,36,1,-1,0,
40,blue-collar,married,primary,no,-335,yes,no,,27,may,260,1,-1,0,
42,unemployed,married,secondary,no,4544,no,no,cellular,17,nov,77,2,-1,0,
36,entrepreneur,single,secondary,no,296,no,no,cellular,30,jul,122,2,-1,0,
40,technician,single,secondary,no,822,yes,yes,cellular,29,jan,155,2,245,3,failure
51,technician,married,secondary,no,330,yes,no,,13,may,72,4,-1,0,
47,blue-collar,married,primary,no,556,yes,no,cellular,4,feb,147,2,264,4,other
40,technician,married,,no,698,yes,no,,8,may,223,2,-1,0,
29,management,single,tertiary,no,600,yes,no,cellular,18,oct,170,5,-1,0,
40,blue-collar,married,secondary,no,11084,no,no,,11,jun,113,1,-1,0,
32,unemployed,single,tertiary,no,1611,yes,no,cellular,19,nov,175,1,180,2,failure
45,management,divorced,tertiary,no,0,no,no,cellular,26,aug,392,2,-1,0,
36,admin.,single,secondary,no,47,no,yes,cellular,9,jul,36,6,-1,0,
28,student,single,tertiary,no,385,yes,no,telephone,18,may,203,5,-1,0,
42,housemaid,married,primary,no,4279,yes,no,cellular,22,jul,98,1,-1,0,
36,management,divorced,tertiary,no,2397,no,no,cellular,25,aug,93,9,-1,0,
42,technician,divorced,secondary,no,-78,yes,yes,cellular,29,jul,10,23,-1,0,
55,technician,divorced,secondary,no,3450,no,no,cellular,11,aug,110,1,-1,0,
37,admin.,married,secondary,no,131,no,no,cellular,17,nov,48,2,-1,0,
53,technician,divorced,secondary,no,1252,yes,no,,26,may,149,1,-1,0,
37,blue-collar,divorced,secondary,no,178,yes,no,,13,may,71,1,-1,0,
40,technician,married,secondary,no,1270,no,no,cellular,17,apr,342,2,-1,0,
33,technician,married,tertiary,no,8023,no,no,cellular,30,nov,107,1,105,3,failure
34,services,married,secondary,no,-211,yes,no,,4,jun,16,8,-1,0,
35,services,single,secondary,no,35,yes,no,cellular,14,may,152,1,-1,0,
31,management,divorced,secondary,no,0,yes,no,cellular,15,jul,216,7,-1,0,
55,admin.,single,secondary,no,533,no,no,,5,jun,40,2,-1,0,
30,blue-collar,married,primary,no,4,yes,no,,8,may,32,2,-1,0,
49,admin.,married,secondary,no,2732,no,no,,12,jun,558,1,-1,0,
54,blue-collar,married,primary,no,-219,yes,no,,15,may,276,4,-1,0,
37,blue-collar,single,secondary,no,223,yes,no,,9,may,175,2,-1,0,
27,admin.,married,secondary,no,249,yes,no,cellular,13,may,307,2,-1,0,
46,blue-collar,divorced,primary,no,916,yes,no,cellular,11,may,472,2,-1,0,
41,management,married,tertiary,no,1715,no,yes,cellular,30,jul,695,2,-1,0,
38,management,married,tertiary,no,12855,yes,no,,30,may,417,1,-1,0,
44,blue-collar,married,primary,no,513,yes,no,cellular,6,may,338,4,-1,0,
33,services,single,secondary,no,48,yes,no,cellular,17,apr,303,1,-1,0,
51,admin.,married,secondary,no,176,no,no,cellular,28,jan,214,1,183,2,failure
34,technician,married,primary,no,1301,no,no,cellular,2,feb,56,1,-1,0,
34,blue-collar,single,secondary,no,3723,yes,no,,27,may,47,5,-1,0,
51,management,divorced,tertiary,no,-2282,yes,yes,cellular,14,jul,301,6,-1,0,
56,admin.,divorced,primary,no,179,yes,no,,12,may,306,2,-1,0,
32,blue-collar,married,secondary,no,210,yes,no,cellular,13,may,308,3,364,1,other
32,technician,divorced,secondary,no,0,yes,no,cellular,10,aug,540,2,-1,0,
30,housemaid,single,tertiary,no,868,no,no,cellular,7,aug,387,2,-1,0,
43,admin.,single,secondary,no,2539,yes,no,,16,may,529,4,-1,0,
45,blue-collar,married,primary,no,71,no,no,,26,jun,138,2,-1,0,
51,admin.,married,tertiary,no,26,yes,no,telephone,28,aug,51,3,-1,0,
29,technician,married,tertiary,no,138,yes,yes,cellular,14,jul,113,3,-1,0,
31,services,single,secondary,no,3,yes,no,cellular,5,may,41,1,-1,0,
41,blue-collar,married,primary,no,4,no,no,cellular,23,jul,74,5,-1,0,
43,management,married,tertiary,no,1264,yes,no,cellular,13,may,102,2,-1,0,
57,blue-collar,married,,no,3196,no,no,cellular,28,aug,161,4,-1,0,
40,entrepreneur,married,tertiary,no,70,no,no,cellular,20,nov,57,1,-1,0,
34,services,single,tertiary,no,88,no,no,cellular,26,feb,180,1,-1,0,
32,technician,married,secondary,no,169,yes,no,cellular,7,may,22,11,-1,0,
30,technician,married,secondary,no,239,yes,no,cellular,20,apr,58,3,150,10,failure
35,management,divorced,tertiary,no,178,yes,no,,23,may,703,2,-1,0,
30,management,married,secondary,no,503,yes,no,cellular,2,feb,96,1,-1,0,
42,technician,married,secondary,no,1048,yes,no,telephone,6,feb,23,2,-1,0,
44,blue-collar,married,secondary,no,-225,yes,no,cellular,6,may,319,2,-1,0,
61,retired,married,tertiary,no,5267,no,no,cellular,18,aug,212,7,188,3,success
38,management,married,tertiary,no,1555,no,no,cellular,20,aug,66,5,-1,0,
38,technician,single,tertiary,no,5122,yes,no,cellular,20,nov,370,1,184,1,failure
34,admin.,married,secondary,no,0,yes,no,telephone,10,jul,38,1,-1,0,
35,self-employed,single,tertiary,no,-30,no,no,cellular,4,feb,218,2,-1,0,
54,technician,married,secondary,no,0,no,no,telephone,14,aug,159,2,106,6,success
54,admin.,married,tertiary,no,-690,yes,yes,,29,may,230,4,-1,0,
34,technician,divorced,secondary,no,1301,yes,no,cellular,25,jul,124,2,-1,0,
40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure
51,blue-collar,married,primary,no,2832,yes,no,cellular,20,apr,122,4,238,12,other
35,blue-collar,married,secondary,no,360,yes,no,telephone,20,apr,24,1,152,3,failure
35,management,single,tertiary,no,657,yes,no,cellular,23,jul,547,2,-1,0,
55,blue-collar,married,primary,no,680,yes,no,,14,may,321,1,-1,0,
33,blue-collar,single,secondary,no,142,yes,no,cellular,14,may,123,1,360,3,other
44,blue-collar,single,secondary,no,0,yes,no,cellular,4,may,64,2,19,1,failure
53,housemaid,married,primary,no,1903,no,no,,5,jun,827,1,-1,0,
24,blue-collar,single,secondary,no,1690,yes,yes,cellular,15,may,543,3,350,3,failure
33,services,married,secondary,yes,-319,yes,no,cellular,25,jul,142,1,-1,0,
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure
32,technician,single,secondary,no,35,no,no,cellular,28,aug,199,6,-1,0,
29,management,single,tertiary,no,4210,yes,no,cellular,18,may,119,1,-1,0,
52,blue-collar,married,secondary,no,-194,yes,no,cellular,18,may,326,1,-1,0,
38,blue-collar,married,secondary,no,384,yes,no,,6,may,1906,3,-1,0,
36,blue-collar,single,secondary,no,103,yes,no,cellular,15,may,200,5,-1,0,
42,admin.,single,secondary,no,1022,yes,no,,5,may,146,2,-1,0,
40,blue-collar,single,secondary,no,1,yes,no,,8,may,190,1,-1,0,
40,management,married,tertiary,no,526,yes,no,cellular,20,aug,113,4,-1,0,
72,retired,married,secondary,no,17739,no,no,cellular,11,sep,135,4,-1,0,
49,technician,married,tertiary,no,2950,yes,no,cellular,22,aug,91,16,-1,0,
53,technician,married,tertiary,no,431,yes,no,cellular,5,may,55,1,328,1,failure
57,management,married,tertiary,no,1172,yes,no,cellular,20,nov,72,1,-1,0,
31,management,married,,no,4123,no,no,cellular,21,nov,584,2,-1,0,
32,blue-collar,married,secondary,no,320,yes,yes,cellular,3,feb,22,4,-1,0,
34,blue-collar,married,secondary,no,247,yes,yes,,26,may,193,5,-1,0,
22,student,single,secondary,no,280,yes,no,,2,jul,63,4,-1,0,
52,blue-collar,married,secondary,no,262,no,no,,18,jun,1062,4,-1,0,
35,management,single,tertiary,no,3137,yes,no,,23,may,72,3,-1,0,
53,technician,married,tertiary,no,476,yes,no,cellular,28,jan,160,1,-1,0,
42,technician,single,secondary,no,-1,no,no,cellular,29,jan,259,1,-1,0,
33,services,married,secondary,no,968,yes,no,cellular,14,may,204,5,-1,0,
35,technician,married,secondary,no,295,yes,no,,29,may,882,2,-1,0,
30,technician,married,secondary,no,743,no,no,cellular,29,jan,142,2,-1,0,
42,management,married,secondary,no,0,no,no,cellular,30,jul,458,3,-1,0,
40,management,married,tertiary,no,52527,no,no,cellular,21,aug,140,11,-1,0,
48,admin.,married,secondary,no,257,yes,no,telephone,8,may,186,4,358,11,failure
33,technician,single,tertiary,no,49,no,no,cellular,25,aug,476,3,-1,0,
45,blue-collar,married,primary,no,487,yes,no,cellular,19,aug,110,4,-1,0,
31,entrepreneur,married,tertiary,no,425,yes,no,cellular,11,may,96,2,-1,0,
46,management,married,secondary,no,1114,no,no,cellular,31,jul,87,8,-1,0,
41,blue-collar,single,secondary,no,842,yes,no,,5,may,144,3,-1,0,
51,technician,married,primary,no,223,yes,no,,5,jun,131,3,-1,0,
40,technician,married,secondary,no,84,yes,no,cellular,8,aug,119,3,-1,0,
49,technician,married,secondary,no,3635,yes,no,cellular,5,aug,171,2,-1,0,
38,blue-collar,married,secondary,no,-210,yes,no,,8,may,21,1,-1,0,
27,technician,married,secondary,no,806,yes,no,,16,jun,768,21,-1,0,
49,self-employed,married,tertiary,no,147,no,yes,cellular,2,feb,559,1,189,4,failure
36,blue-collar,married,primary,no,-79,no,no,,7,may,159,3,-1,0,
46,blue-collar,married,primary,no,399,yes,no,,13,may,353,1,-1,0,
53,technician,married,secondary,no,530,no,no,cellular,18,nov,244,1,-1,0,
52,blue-collar,married,primary,no,281,yes,no,cellular,16,apr,55,4,335,3,other
33,management,married,tertiary,no,4149,no,yes,cellular,18,jul,159,2,-1,0,
36,management,divorced,tertiary,no,0,yes,no,cellular,20,nov,378,8,-1,0,
48,management,single,tertiary,no,940,no,no,,23,jun,216,3,-1,0,
52,management,married,,no,414,yes,no,cellular,8,jul,424,1,-1,0,
26,blue-collar,married,secondary,no,624,yes,no,cellular,5,feb,188,1,247,4,other
29,technician,single,secondary,no,205,yes,no,cellular,17,apr,218,1,340,3,failure
32,blue-collar,divorced,secondary,no,0,no,no,telephone,9,jul,49,1,-1,0,
51,blue-collar,married,primary,no,109,yes,no,,27,may,106,2,-1,0,
56,retired,married,secondary,no,0,no,no,cellular,2,jun,71,3,-1,0,
59,management,married,tertiary,no,3969,no,no,cellular,18,nov,464,3,-1,0,
36,blue-collar,married,secondary,no,0,no,no,cellular,15,jul,794,1,-1,0,
41,services,married,secondary,no,33,yes,yes,,27,may,82,1,-1,0,
40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,41,1,182,1,failure
44,blue-collar,married,primary,no,23,yes,no,,13,may,135,1,-1,0,
59,blue-collar,married,,no,337,no,no,,18,jun,100,4,-1,0,
30,self-employed,single,tertiary,no,253,yes,no,,23,may,167,4,-1,0,
30,technician,single,secondary,no,3096,yes,no,cellular,11,aug,272,4,-1,0,
27,entrepreneur,single,tertiary,no,81,no,no,cellular,5,feb,197,1,199,3,failure
36,management,married,tertiary,no,1355,yes,no,,20,jun,256,8,-1,0,
43,management,divorced,tertiary,no,1052,no,no,,12,jun,118,3,-1,0,
32,entrepreneur,married,tertiary,no,964,yes,no,cellular,19,nov,130,1,120,2,failure
34,blue-collar,married,primary,no,3986,yes,no,cellular,17,apr,345,2,-1,0,
33,services,married,secondary,no,288,yes,no,cellular,17,apr,306,1,-1,0,
43,management,married,tertiary,no,0,yes,no,cellular,21,jul,474,1,-1,0,
34,housemaid,married,secondary,no,390,yes,no,cellular,15,jul,659,3,-1,0,
51,admin.,married,tertiary,no,4655,no,no,,20,jun,44,4,-1,0,
32,technician,single,secondary,no,12,no,no,cellular,7,aug,173,2,-1,0,
47,unemployed,married,primary,no,798,no,no,cellular,20,aug,89,2,-1,0,
32,self-employed,single,tertiary,no,519,yes,no,cellular,18,nov,72,1,-1,0,
54,entrepreneur,married,tertiary,no,1544,no,yes,cellular,5,feb,85,7,196,3,failure
32,management,single,tertiary,no,2515,no,yes,cellular,19,nov,223,2,-1,0,
35,blue-collar,single,secondary,no,406,yes,no,,11,jun,126,12,-1,0,
34,admin.,married,secondary,no,430,yes,no,cellular,21,jul,82,4,-1,0,
32,management,married,tertiary,no,913,yes,no,cellular,23,jun,883,1,674,4,failure
46,management,married,,no,3082,no,no,telephone,4,may,157,3,-1,0,
54,entrepreneur,married,tertiary,no,0,no,no,cellular,30,jul,250,5,-1,0,
37,technician,divorced,secondary,no,4965,no,no,cellular,6,aug,222,2,-1,0,
33,blue-collar,married,secondary,no,798,yes,no,cellular,12,may,337,1,-1,0,
46,blue-collar,married,secondary,no,6085,yes,yes,,14,may,311,2,-1,0,
37,services,single,secondary,no,1175,yes,no,,16,jun,92,2,-1,0,
43,technician,married,secondary,no,536,yes,no,cellular,17,nov,77,1,-1,0,
66,admin.,married,secondary,no,5464,no,no,cellular,7,aug,131,1,-1,0,
38,services,married,secondary,no,507,yes,no,,8,may,95,1,-1,0,
40,management,married,tertiary,no,0,yes,no,,30,may,138,1,-1,0,
40,management,single,tertiary,no,-50,yes,no,cellular,12,may,306,2,350,1,failure
52,technician,married,secondary,no,337,yes,no,cellular,8,may,247,1,261,4,failure
38,management,married,tertiary,no,-1884,yes,no,cellular,6,may,82,2,289,1,failure
58,retired,married,secondary,no,374,yes,yes,cellular,28,jan,223,1,196,1,failure
36,technician,married,tertiary,no,202,no,no,cellular,1,oct,237,1,122,2,failure
40,technician,married,secondary,no,4,yes,yes,cellular,4,aug,135,3,-1,0,
28,blue-collar,married,secondary,no,4287,no,no,cellular,30,apr,171,1,-1,0,
39,management,married,tertiary,no,198,yes,no,,19,may,138,8,-1,0,
36,unemployed,divorced,tertiary,no,734,no,no,cellular,19,aug,276,2,-1,0,
34,management,single,tertiary,no,2205,no,no,cellular,14,aug,635,2,-1,0,
48,blue-collar,married,,no,439,yes,no,cellular,2,feb,212,1,249,2,other
40,services,married,secondary,no,1674,yes,yes,cellular,4,feb,144,1,274,2,other
37,services,divorced,secondary,no,652,no,no,cellular,25,jul,177,2,-1,0,
49,entrepreneur,divorced,secondary,no,159,yes,no,,13,may,95,3,-1,0,
30,management,single,tertiary,no,552,yes,no,cellular,5,aug,648,2,-1,0,
58,technician,married,primary,no,16119,no,no,telephone,20,nov,188,2,-1,0,
53,management,married,secondary,no,66,no,yes,telephone,8,jul,141,1,-1,0,
36,entrepreneur,married,tertiary,no,280,yes,no,cellular,7,may,252,1,351,1,failure
40,blue-collar,single,,no,-154,yes,yes,,19,may,258,1,-1,0,
50,blue-collar,married,secondary,no,418,no,yes,cellular,12,aug,867,2,-1,0,
42,management,married,secondary,no,1079,no,no,cellular,19,aug,117,6,-1,0,
39,blue-collar,married,primary,no,2288,yes,no,cellular,15,may,265,1,-1,0,
47,technician,married,secondary,no,1059,yes,no,cellular,17,jul,154,1,-1,0,
32,services,married,secondary,no,3756,yes,no,,4,jun,85,3,-1,0,
56,admin.,married,secondary,no,699,no,no,,7,jun,54,1,-1,0,
35,blue-collar,married,primary,no,2878,yes,no,cellular,18,nov,140,2,-1,0,
54,retired,married,secondary,no,918,yes,no,,14,may,189,1,-1,0,
34,management,divorced,tertiary,no,582,no,no,cellular,20,nov,209,3,-1,0,
35,management,married,tertiary,no,0,yes,no,cellular,5,may,310,1,-1,0,
57,blue-collar,married,primary,no,1592,no,yes,,20,jun,78,4,-1,0,
53,management,married,secondary,no,0,yes,yes,cellular,22,jul,59,1,-1,0,
29,blue-collar,married,secondary,no,416,yes,no,,14,may,1118,2,-1,0,
23,admin.,married,secondary,no,836,yes,no,,27,may,674,1,-1,0,
40,technician,single,secondary,no,34,no,no,cellular,20,aug,66,3,-1,0,
52,services,married,tertiary,no,3094,yes,no,cellular,17,nov,96,1,-1,0,
34,blue-collar,married,primary,no,2320,yes,no,cellular,18,nov,63,1,-1,0,
37,management,single,tertiary,no,2163,no,no,cellular,25,jan,114,1,234,1,failure
35,blue-collar,married,secondary,no,260,yes,no,telephone,13,may,155,6,-1,0,
28,services,single,secondary,no,231,yes,yes,cellular,13,aug,129,1,-1,0,
35,blue-collar,married,primary,no,46,no,no,cellular,8,jul,338,3,-1,0,
35,technician,married,secondary,no,13,no,no,cellular,22,aug,94,2,-1,0,
32,self-employed,single,tertiary,no,-98,no,yes,cellular,21,nov,157,2,-1,0,
35,admin.,married,secondary,no,449,yes,no,cellular,17,jul,43,8,-1,0,
32,technician,married,secondary,no,1118,yes,yes,,9,may,128,2,-1,0,
37,blue-collar,single,tertiary,no,3649,yes,no,cellular,15,apr,623,2,146,4,failure
39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure
57,retired,married,secondary,no,2020,no,no,,19,jun,93,4,-1,0,
57,blue-collar,married,primary,no,630,yes,no,,29,may,52,1,-1,0,
56,blue-collar,married,secondary,no,2583,no,no,cellular,21,nov,70,1,-1,0,
34,technician,single,secondary,no,1174,no,no,cellular,25,aug,136,17,-1,0,
36,blue-collar,married,secondary,no,2103,no,yes,,26,jun,71,1,-1,0,
26,blue-collar,single,secondary,no,-204,yes,no,,13,may,609,2,-1,0,
32,management,single,tertiary,no,623,no,no,telephone,24,dec,273,1,203,1,failure
51,services,divorced,secondary,no,135,yes,yes,cellular,17,nov,862,1,-1,0,
38,technician,divorced,tertiary,no,348,no,no,,20,jun,446,1,-1,0,
26,blue-collar,single,secondary,no,-128,no,yes,cellular,8,jul,392,2,-1,0,
27,student,single,primary,yes,25,no,no,,28,aug,8,1,-1,0,
33,technician,married,tertiary,no,0,yes,no,cellular,8,may,206,1,-1,0,
30,technician,single,tertiary,no,1185,yes,no,cellular,30,apr,284,1,339,1,failure
56,technician,married,primary,no,314,yes,yes,,5,jun,75,1,-1,0,
52,blue-collar,married,primary,no,320,yes,no,cellular,6,feb,306,3,253,4,other
34,blue-collar,single,secondary,no,79,no,yes,cellular,20,nov,104,1,-1,0,
56,admin.,divorced,secondary,no,1026,yes,no,cellular,28,jul,173,2,-1,0,
55,management,divorced,tertiary,no,29484,no,no,cellular,20,nov,151,2,-1,0,
31,management,married,tertiary,no,2652,no,no,cellular,25,aug,9,9,-1,0,
28,technician,single,secondary,no,525,no,no,cellular,3,feb,176,2,-1,0,
26,blue-collar,married,secondary,no,115,yes,no,,4,jul,46,3,-1,0,
32,self-employed,single,tertiary,no,4024,yes,no,cellular,2,jul,150,1,-1,0,
37,technician,divorced,secondary,no,695,yes,no,,26,may,80,2,-1,0,
52,blue-collar,married,secondary,no,408,no,no,cellular,29,jan,338,2,-1,0,
34,blue-collar,married,primary,no,12,no,no,telephone,21,nov,61,3,-1,0,
46,admin.,single,secondary,no,19,yes,yes,cellular,18,jul,328,1,-1,0,
43,technician,single,secondary,no,214,yes,no,cellular,14,may,335,1,-1,0,
58,technician,single,secondary,no,641,no,no,cellular,7,aug,229,2,-1,0,
27,admin.,married,secondary,no,4144,yes,no,,4,jun,132,1,-1,0,
30,management,single,tertiary,no,1637,yes,no,cellular,13,aug,163,3,-1,0,
43,admin.,divorced,secondary,no,777,yes,no,,2,jun,130,2,-1,0,
40,management,single,primary,no,1527,no,yes,cellular,20,nov,317,2,-1,0,
55,blue-collar,married,secondary,no,1901,no,no,cellular,18,aug,143,4,-1,0,
45,management,married,tertiary,no,126,yes,no,cellular,20,apr,92,1,342,1,failure
54,retired,divorced,secondary,yes,-200,no,yes,cellular,4,feb,71,1,243,1,failure
38,admin.,divorced,secondary,no,859,yes,yes,cellular,8,may,52,1,302,4,failure
46,technician,married,secondary,no,278,yes,no,cellular,12,may,207,1,306,1,failure
40,admin.,single,secondary,no,664,no,no,cellular,19,nov,188,2,121,2,success
39,admin.,single,tertiary,no,23,no,no,,11,jun,162,3,-1,0,
21,student,single,secondary,no,210,no,no,telephone,4,feb,123,2,174,1,failure
34,blue-collar,single,secondary,no,551,yes,no,cellular,8,may,347,2,-1,0,
72,retired,married,secondary,no,2850,no,no,cellular,16,oct,131,2,241,1,success
35,blue-collar,married,secondary,no,0,yes,no,,23,may,100,4,-1,0,
26,technician,single,tertiary,no,8839,yes,no,,29,may,932,3,-1,0,
43,blue-collar,married,primary,no,-77,yes,no,,8,may,468,1,-1,0,
53,admin.,married,secondary,no,225,yes,no,cellular,20,apr,304,1,340,1,failure
53,admin.,divorced,secondary,no,592,yes,no,,13,may,151,1,-1,0,
34,blue-collar,married,secondary,no,291,yes,no,cellular,15,jul,646,4,-1,0,
31,blue-collar,married,primary,no,-454,yes,yes,,28,may,861,2,-1,0,
48,blue-collar,married,,no,617,yes,no,cellular,11,aug,33,2,-1,0,
30,student,single,tertiary,no,7513,no,no,cellular,11,aug,269,2,-1,0,
44,blue-collar,married,secondary,no,167,yes,no,cellular,15,may,79,2,373,1,failure
45,blue-collar,married,primary,no,103,no,no,cellular,28,jan,64,3,-1,0,
38,technician,single,secondary,no,294,no,yes,cellular,25,jul,172,2,-1,0,
37,management,married,,no,247,no,no,cellular,9,jul,366,1,-1,0,
35,management,single,tertiary,no,304,yes,no,cellular,19,nov,274,2,-1,0,
35,technician,married,secondary,no,2355,yes,no,cellular,9,jul,515,1,-1,0,
25,retired,single,secondary,no,366,no,yes,cellular,15,may,102,2,364,2,failure
35,self-employed,divorced,secondary,no,3443,no,no,cellular,30,jul,409,4,-1,0,
46,self-employed,married,secondary,no,0,no,no,,29,may,137,1,-1,0,
52,blue-collar,married,primary,no,-63,yes,no,,26,may,560,4,-1,0,
46,blue-collar,married,primary,no,-326,yes,no,,27,may,59,4,-1,0,
43,technician,single,secondary,no,257,yes,no,cellular,2,feb,64,2,-1,0,
46,blue-collar,married,primary,no,4602,yes,no,telephone,15,may,39,1,-1,0,
32,services,married,secondary,no,-124,no,no,,27,may,116,1,-1,0,
46,technician,married,tertiary,no,157,no,no,,26,jun,150,1,-1,0,
30,technician,single,,no,-48,yes,no,,6,may,152,2,-1,0,
30,services,married,secondary,no,2212,yes,no,telephone,30,jan,41,1,249,2,other
38,services,married,secondary,no,435,yes,no,,23,may,193,2,-1,0,
33,admin.,married,secondary,no,61,yes,yes,,8,may,116,2,-1,0,
46,blue-collar,married,primary,no,557,no,no,,18,jun,89,1,-1,0,
23,services,married,primary,no,523,yes,yes,,19,may,249,2,-1,0,
36,housemaid,single,secondary,no,28,no,yes,cellular,11,aug,149,2,-1,0,
29,blue-collar,single,primary,no,3508,yes,no,cellular,17,apr,462,1,-1,0,
38,management,single,,no,715,yes,no,cellular,2,apr,951,1,132,3,failure
45,blue-collar,divorced,primary,no,-69,yes,no,cellular,13,may,118,2,-1,0,
42,entrepreneur,married,tertiary,no,42045,no,no,cellular,8,aug,205,2,-1,0,
48,blue-collar,married,secondary,no,705,no,no,,13,may,108,2,-1,0,
28,services,single,secondary,no,60,no,yes,cellular,29,jan,248,1,-1,0,
35,blue-collar,married,secondary,no,-172,yes,no,cellular,31,jul,14,32,-1,0,
36,housemaid,married,primary,no,758,no,no,,17,jun,236,2,-1,0,
48,management,married,tertiary,no,7825,no,no,telephone,21,nov,77,5,-1,0,
44,blue-collar,married,primary,no,276,yes,no,cellular,30,jul,535,2,-1,0,
31,management,married,secondary,no,2019,no,no,,7,may,380,2,-1,0,
40,admin.,divorced,secondary,no,220,yes,no,cellular,18,may,197,2,-1,0,
40,technician,married,tertiary,no,296,no,no,,19,may,198,1,-1,0,
31,admin.,divorced,secondary,no,53,yes,no,,7,may,128,4,-1,0,
31,blue-collar,married,secondary,no,1787,yes,no,,20,may,201,4,-1,0,
57,admin.,married,secondary,no,3242,no,no,cellular,8,aug,521,4,-1,0,
33,technician,single,secondary,no,12177,no,no,cellular,18,aug,76,5,-1,0,
44,admin.,divorced,tertiary,no,994,yes,no,cellular,13,may,420,3,-1,0,
59,management,single,tertiary,no,623,yes,no,cellular,7,jul,212,4,-1,0,
32,management,divorced,tertiary,no,-634,yes,yes,,27,may,275,1,-1,0,
34,blue-collar,married,secondary,no,156,yes,no,cellular,29,jul,393,3,-1,0,
48,technician,single,secondary,no,309,no,no,cellular,7,aug,190,2,-1,0,
30,self-employed,single,tertiary,no,578,yes,no,,2,jun,142,4,-1,0,
40,blue-collar,divorced,primary,no,54,yes,no,cellular,13,may,10,5,362,3,other
60,admin.,married,,no,738,no,no,,19,may,529,3,-1,0,
38,technician,single,secondary,no,372,no,no,,23,may,59,3,-1,0,
40,entrepreneur,married,tertiary,no,1024,no,no,cellular,19,nov,723,1,-1,0,
51,entrepreneur,married,tertiary,no,209,no,no,cellular,29,jul,112,2,-1,0,
30,technician,single,tertiary,no,60,yes,yes,,7,may,306,5,-1,0,
40,management,married,tertiary,no,0,no,no,cellular,11,may,41,1,-1,0,
46,entrepreneur,single,tertiary,no,1410,yes,no,telephone,13,may,91,5,175,9,failure
41,unemployed,married,secondary,no,5608,no,no,cellular,9,feb,64,2,-1,0,
31,services,married,secondary,no,655,no,yes,cellular,9,feb,190,6,-1,0,
46,management,married,tertiary,no,245,yes,no,,16,may,42,10,-1,0,
38,technician,married,secondary,no,922,yes,yes,cellular,17,jul,388,2,-1,0,
50,management,married,tertiary,no,311,no,no,cellular,4,may,124,5,-1,0,
37,blue-collar,single,tertiary,no,481,no,no,cellular,18,may,11,8,-1,0,
46,admin.,married,secondary,no,196,yes,no,telephone,14,may,29,2,-1,0,
66,retired,married,tertiary,no,2262,no,no,cellular,22,apr,155,1,-1,0,
59,blue-collar,divorced,secondary,no,4190,yes,no,cellular,20,nov,221,1,-1,0,
38,admin.,married,tertiary,no,293,no,no,cellular,15,apr,85,1,-1,0,
38,technician,single,secondary,no,1255,yes,no,cellular,17,nov,151,2,171,2,failure
45,retired,divorced,secondary,no,187,yes,no,cellular,11,may,82,2,-1,0,
58,housemaid,married,tertiary,no,2858,no,no,cellular,31,jul,56,6,-1,0,
30,services,single,secondary,no,603,yes,yes,,2,jun,335,2,-1,0,
